Smiles,Molecule ChEMBL ID,pChEMBL Value,Molecular Weight,AlogP,#RO5 Violations,Document Year,Source Description,Time_hr,Source_Type,Journal
Br.CCOC(=O)C(C(=O)N/N=C/c1ccc([N+](=O)[O-])cc1)[n+]1ccc2ccccc2c1,CHEMBL5434514,7.698970004336019,488.32,2.29,0.0,2022,Scientific Literature,,Article,Bioorg Med Chem
Br.CCOc1ccc(-c2n[nH]cc2C2=NCCN2)cc1,CHEMBL4465934,1.229999999967245,337.22,1.83,0.0,2019,Scientific Literature,,Article,Bioorg Med Chem
Br.COc1ccc(C2=NCCN2)cc1Cn1ccnc1C,CHEMBL4552404,1.229999999967245,351.25,1.6,0.0,2019,Scientific Literature,,Patent,
Br.c1ccc(-n2cc(C3=NCCN3)c(-c3cccs3)n2)cc1,CHEMBL4517523,4.735182176990463,375.3,2.95,0.0,2019,Scientific Literature,,Patent,
Brc1ccc(-c2cc3ccccc3o2)cc1,CHEMBL4290868,6.468521082957745,273.13,4.86,0.0,2017,Scientific Literature,,Patent,
Brc1ccc(-c2csc(N/N=C/c3ccc(N4CCCC4)cc3)n2)cc1,CHEMBL4171393,1.229999999967245,427.37,5.62,1.0,2018,Scientific Literature,,Article,Bioorg Med Chem
Brc1ccc(-c2csc(N/N=C/c3ccc(N4CCOCC4)cc3)n2)cc1,CHEMBL4176309,1.229999999967245,443.37,4.86,0.0,2018,Scientific Literature,,Article,Bioorg Med Chem
Brc1ccc(-c2nc3ccc(N4CCCCC4)nc3o2)cc1,CHEMBL3943071,7.017728766960431,358.24,4.64,0.0,2016,BindingDB Patent Bioactivity Data,,Article,Bioorg Med Chem
Brc1ccc(COc2cccc(Br)c2)cc1,CHEMBL4167140,6.455931955649724,342.03,4.79,0.0,2017,Scientific Literature,,Article,Bioorg Med Chem
Brc1ccc(OCCOc2ccc3c(c2)OCCO3)cc1,CHEMBL3402202,6.026410376572743,351.2,3.68,0.0,2015,Scientific Literature,,Article,Bioorg Med Chem
Brc1ccc(OCCOc2ccc3c(c2)OCO3)cc1,CHEMBL3402194,5.150580586203101,337.17,3.64,0.0,2015,Scientific Literature,,Article,Bioorg Med Chem
